expenseDate,key,taxiDestination,created,km,office,destinationEnd,destinationIni,expenseType,attachmentUrl,amount,nights,createdBy,expenseDetails
"Timestamp(seconds=1607839200, nanoseconds=0)",dGfJuXOq0f2Dk3MH70Hc,,"Timestamp(seconds=1607964298, nanoseconds=643000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607839200, nanoseconds=0)",OrDB9fQKVlthBKGc6Cld,,"Timestamp(seconds=1607969104, nanoseconds=54000000)",130,[object Object],,,Gasolina,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FOrDB9fQKVlthBKGc6Cld?alt=media&token=f7cd710f-b770-49b2-8421-f184986edb20,300,,[object Object],
"Timestamp(seconds=1607752800, nanoseconds=0)",wTVKF7PX8VJDhmB6GFyu,,"Timestamp(seconds=1607967993, nanoseconds=486000000)",,[object Object],CDMX,Culiacán ,Bus,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FwTVKF7PX8VJDhmB6GFyu?alt=media&token=fcf6fefa-a6c5-43ca-9e28-e471fb33afd3,1494,,[object Object],
"Timestamp(seconds=1607752800, nanoseconds=0)",v9cojJvJ3wwCznpCQPEs,,"Timestamp(seconds=1607964136, nanoseconds=102000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607752800, nanoseconds=0)",kPLs0cgTJtP3vuo5iOOe,,"Timestamp(seconds=1607967699, nanoseconds=239000000)",,[object Object],Culiacán ,Mazatlán ,Bus,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FkPLs0cgTJtP3vuo5iOOe?alt=media&token=c7c14f2a-d3f9-47cf-877e-cd6c49a4527d,216,,[object Object],
"Timestamp(seconds=1607752800, nanoseconds=0)",hfGqfIa2NZ5LRACF5YrT,De Sucursal a Terminal,"Timestamp(seconds=1607967859, nanoseconds=277000000)",,[object Object],,,Taxi,,220,,[object Object],
"Timestamp(seconds=1607752800, nanoseconds=0)",WOeE5sXXPWMvl9fSMR6F,De Hotel a Terminal,"Timestamp(seconds=1607967570, nanoseconds=867000000)",,[object Object],,,Taxi,,180,,[object Object],
"Timestamp(seconds=1607752800, nanoseconds=0)",1slieJ66nhzBnrjR121W,De Terminal a Sucursal,"Timestamp(seconds=1607967788, nanoseconds=476000000)",,[object Object],,,Taxi, ,180,,[object Object],
"Timestamp(seconds=1607666400, nanoseconds=0)",zgEucoMkvihP2TStPwBZ,,"Timestamp(seconds=1607967477, nanoseconds=5000000)",,[object Object],,,Hotel,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FzgEucoMkvihP2TStPwBZ?alt=media&token=afc797f8-9528-48c3-959a-61714c2a38dc,833,1,[object Object],
"Timestamp(seconds=1607666400, nanoseconds=0)",F2povnkqzeiRS8qNskO5,,"Timestamp(seconds=1607964098, nanoseconds=509000000)",,[object Object],,,Alimentos,,300,,[object Object],
