taxiDestination,destinationIni,nights,attachmentUrl,created,office,km,key,expenseDate,expenseDetails,destinationEnd,expenseType,createdBy,amount
,,,,"Timestamp(seconds=1607964298, nanoseconds=643000000)",[object Object],,dGfJuXOq0f2Dk3MH70Hc,"Timestamp(seconds=1607839200, nanoseconds=0)",,,Alimentos,[object Object],300
,,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FOrDB9fQKVlthBKGc6Cld?alt=media&token=f7cd710f-b770-49b2-8421-f184986edb20,"Timestamp(seconds=1607969104, nanoseconds=54000000)",[object Object],130,OrDB9fQKVlthBKGc6Cld,"Timestamp(seconds=1607839200, nanoseconds=0)",,,Gasolina,[object Object],300
,Culiacán ,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FwTVKF7PX8VJDhmB6GFyu?alt=media&token=fcf6fefa-a6c5-43ca-9e28-e471fb33afd3,"Timestamp(seconds=1607967993, nanoseconds=486000000)",[object Object],,wTVKF7PX8VJDhmB6GFyu,"Timestamp(seconds=1607752800, nanoseconds=0)",,CDMX,Bus,[object Object],1494
,,,,"Timestamp(seconds=1607964136, nanoseconds=102000000)",[object Object],,v9cojJvJ3wwCznpCQPEs,"Timestamp(seconds=1607752800, nanoseconds=0)",,,Alimentos,[object Object],300
,Mazatlán ,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FkPLs0cgTJtP3vuo5iOOe?alt=media&token=c7c14f2a-d3f9-47cf-877e-cd6c49a4527d,"Timestamp(seconds=1607967699, nanoseconds=239000000)",[object Object],,kPLs0cgTJtP3vuo5iOOe,"Timestamp(seconds=1607752800, nanoseconds=0)",,Culiacán ,Bus,[object Object],216
De Sucursal a Terminal,,,,"Timestamp(seconds=1607967859, nanoseconds=277000000)",[object Object],,hfGqfIa2NZ5LRACF5YrT,"Timestamp(seconds=1607752800, nanoseconds=0)",,,Taxi,[object Object],220
De Hotel a Terminal,,,,"Timestamp(seconds=1607967570, nanoseconds=867000000)",[object Object],,WOeE5sXXPWMvl9fSMR6F,"Timestamp(seconds=1607752800, nanoseconds=0)",,,Taxi,[object Object],180
De Terminal a Sucursal,,, ,"Timestamp(seconds=1607967788, nanoseconds=476000000)",[object Object],,1slieJ66nhzBnrjR121W,"Timestamp(seconds=1607752800, nanoseconds=0)",,,Taxi,[object Object],180
,,1,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FzgEucoMkvihP2TStPwBZ?alt=media&token=afc797f8-9528-48c3-959a-61714c2a38dc,"Timestamp(seconds=1607967477, nanoseconds=5000000)",[object Object],,zgEucoMkvihP2TStPwBZ,"Timestamp(seconds=1607666400, nanoseconds=0)",,,Hotel,[object Object],833
,,,,"Timestamp(seconds=1607964098, nanoseconds=509000000)",[object Object],,F2povnkqzeiRS8qNskO5,"Timestamp(seconds=1607666400, nanoseconds=0)",,,Alimentos,[object Object],300
De Terminal a Hotel,,,,"Timestamp(seconds=1607967211, nanoseconds=976000000)",[object Object],,AmYopEPL3nX4zOy9xAuE,"Timestamp(seconds=1607666400, nanoseconds=0)",,,Taxi,[object Object],200
,,,,"Timestamp(seconds=1607908655, nanoseconds=995000000)",[object Object],,yhsOdNOqs8IMrhB85QPT,"Timestamp(seconds=1607580000, nanoseconds=0)",,,Alimentos,[object Object],300
,,1,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FlcqqpkuKAWaz3BovPkUg?alt=media&token=0e086173-9053-463f-8f39-0cd7ce07bc07,"Timestamp(seconds=1607967135, nanoseconds=136000000)",[object Object],,lcqqpkuKAWaz3BovPkUg,"Timestamp(seconds=1607580000, nanoseconds=0)",,,Hotel,[object Object],833
De Sucursal a Terminal,,,,"Timestamp(seconds=1607966746, nanoseconds=776000000)",[object Object],,ku3KOvUzZxTG45Sp7N9R,"Timestamp(seconds=1607580000, nanoseconds=0)",,,Taxi,[object Object],100
De Hotel a Sucursal,,,,"Timestamp(seconds=1607966692, nanoseconds=248000000)",[object Object],,gOoNXRC6v9ahsEMIpyNh,"Timestamp(seconds=1607580000, nanoseconds=0)",,,Taxi,[object Object],75
De Terminal a Hotel,,,,"Timestamp(seconds=1607966603, nanoseconds=552000000)",[object Object],,bXsYxQlvixMEV4YWTk3v,"Timestamp(seconds=1607580000, nanoseconds=0)",,,Taxi,[object Object],60
,Guasave ,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F3raUpCDbOJsSF7sKcmES?alt=media&token=c3c6f8ce-5f09-4dce-8714-b518f0fa4cfa,"Timestamp(seconds=1607966906, nanoseconds=859000000)",[object Object],,3raUpCDbOJsSF7sKcmES,"Timestamp(seconds=1607580000, nanoseconds=0)",,Mazatlán ,Bus,[object Object],310
,Los Mochis ,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FiFbORv7B4miFi6RvDjKA?alt=media&token=a0e922ef-0003-4f17-a2e4-d99482275575,"Timestamp(seconds=1607966511, nanoseconds=805000000)",[object Object],,iFbORv7B4miFi6RvDjKA,"Timestamp(seconds=1607493600, nanoseconds=0)",,Guasave,Bus,[object Object],60
,,1,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FiAPmAdtF0EIELy8VDxVI?alt=media&token=b304fff0-8f26-472c-9534-f396c24fc335,"Timestamp(seconds=1607966298, nanoseconds=957000000)",[object Object],,iAPmAdtF0EIELy8VDxVI,"Timestamp(seconds=1607493600, nanoseconds=0)",,,Hotel,[object Object],480
De Hotel a Sucursal,,,,"Timestamp(seconds=1607965043, nanoseconds=727000000)",[object Object],,dAHQLm12aHkZnAaQsjsh,"Timestamp(seconds=1607493600, nanoseconds=0)",,,Taxi,[object Object],100
,,,,"Timestamp(seconds=1607908626, nanoseconds=441000000)",[object Object],,aF7tOKR8H7x1YKoLsbu8,"Timestamp(seconds=1607493600, nanoseconds=0)",,,Alimentos,[object Object],300
De Sucursal a Hotel,,,,"Timestamp(seconds=1607965088, nanoseconds=368000000)",[object Object],,Rz7BzvlxovD7mrqyPAFB,"Timestamp(seconds=1607493600, nanoseconds=0)",,,Taxi,[object Object],60
De Terminal a Sucursal,,,,"Timestamp(seconds=1607965931, nanoseconds=709000000)",[object Object],,Rv4O6cU5w4c6sOPxK7ER,"Timestamp(seconds=1607493600, nanoseconds=0)",,,Taxi,[object Object],160
De Sucursal a Terminal,,,,"Timestamp(seconds=1607966002, nanoseconds=441000000)",[object Object],,Ndgl1HbWptEGvW8BhNjY,"Timestamp(seconds=1607493600, nanoseconds=0)",,,Taxi,[object Object],150
De Hotel a Terminal,,,,"Timestamp(seconds=1607965127, nanoseconds=444000000)",[object Object],,GLycWskoRqGdHxvlfkS8,"Timestamp(seconds=1607493600, nanoseconds=0)",,,Taxi,[object Object],80
,Navojoa,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FD9P7vKZ9BZl9rMb0gwGc?alt=media&token=fe97756f-96e7-4493-bbab-df533949d4fe,"Timestamp(seconds=1607965461, nanoseconds=865000000)",[object Object],,D9P7vKZ9BZl9rMb0gwGc,"Timestamp(seconds=1607493600, nanoseconds=0)",,Los Mochis ,Bus,[object Object],161
,,1,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FABO3wyHtaOQAdFMoNBAP?alt=media&token=92970327-ea7b-4e4a-bd15-2bea7a964763,"Timestamp(seconds=1607965751, nanoseconds=815000000)",[object Object],,ABO3wyHtaOQAdFMoNBAP,"Timestamp(seconds=1607493600, nanoseconds=0)",,,Hotel,[object Object],750
De Hotel a Terminal,,,,"Timestamp(seconds=1607964779, nanoseconds=760000000)",[object Object],,iOKotbMFIkEtakxXFpqc,"Timestamp(seconds=1607407200, nanoseconds=0)",,,Taxi,[object Object],250
De Sucursal a Hotel,,,,"Timestamp(seconds=1607492739, nanoseconds=501000000)",[object Object],,i5BGItoYu3LPCiaMtqrU,"Timestamp(seconds=1607407200, nanoseconds=0)",,,Taxi,[object Object],120
De Sucursal a Hotel,,,,"Timestamp(seconds=1607964964, nanoseconds=300000000)",[object Object],,hA9vjNMlgXcWIIRzk4WE,"Timestamp(seconds=1607407200, nanoseconds=0)",,,Taxi,[object Object],500
De Terminal a Sucursal,,,,"Timestamp(seconds=1607964842, nanoseconds=433000000)",[object Object],,HthH4y3baGyAKgLUZSIT,"Timestamp(seconds=1607407200, nanoseconds=0)",,,Taxi,[object Object],250
,,,,"Timestamp(seconds=1607908560, nanoseconds=78000000)",[object Object],,BAMneG9qfDDz66XWx4Fy,"Timestamp(seconds=1607407200, nanoseconds=0)",,,Alimentos,[object Object],300
,,,,"Timestamp(seconds=1607467493, nanoseconds=897000000)",[object Object],,ppPp2k6ihnQ6Nl13BqCP,"Timestamp(seconds=1607403600, nanoseconds=0)",,,Alimentos,[object Object],300
De Hotel a Sucursal,,,,"Timestamp(seconds=1607468283, nanoseconds=173000000)",[object Object],,LQpug8zi5SgvacqqxV9P,"Timestamp(seconds=1607403600, nanoseconds=0)",,,Taxi,[object Object],120
,,1,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FtcAdMwnhgIOMTCk1b35y?alt=media&token=e883c182-672f-4100-acee-5bd891dfd33a,"Timestamp(seconds=1607968227, nanoseconds=888000000)",[object Object],,tcAdMwnhgIOMTCk1b35y,"Timestamp(seconds=1607320800, nanoseconds=0)",,,Hotel,[object Object],450
,,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FMuVnsJRJNr9Bcc0xuAVJ?alt=media&token=646e5ddf-11d8-4286-99cd-b0cbfe73e0fc,"Timestamp(seconds=1607354897, nanoseconds=633000000)",[object Object],130,MuVnsJRJNr9Bcc0xuAVJ,"Timestamp(seconds=1607320800, nanoseconds=0)",,,Gasolina,[object Object],300
,,,,"Timestamp(seconds=1607354937, nanoseconds=395000000)",[object Object],,FQ6It4IG6IQFfS3Vc2Kb,"Timestamp(seconds=1607320800, nanoseconds=0)",,,Alimentos,[object Object],300
De Casa a Refacciones,,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F6FdyLCN4rv9YXXXetXWe?alt=media&token=f1706476-5970-4b78-8ffd-8705bf9eb2dc,"Timestamp(seconds=1607384158, nanoseconds=569000000)",[object Object],,6FdyLCN4rv9YXXXetXWe,"Timestamp(seconds=1607320800, nanoseconds=0)",,,Taxi,[object Object],122
,,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F5JAJby8E7M8011TGMnL9?alt=media&token=318853e7-2000-40d6-97a9-1d8581aab0ae,"Timestamp(seconds=1607383919, nanoseconds=590000000)",[object Object],,5JAJby8E7M8011TGMnL9,"Timestamp(seconds=1607320800, nanoseconds=0)",equipaje demorado,,Otros,[object Object],801
De Terminal a Hotel,,,,"Timestamp(seconds=1607964493, nanoseconds=401000000)",[object Object],,4aow3zKrolsiMuEyWmcT,"Timestamp(seconds=1607320800, nanoseconds=0)",,,Taxi,[object Object],250
De Terminal a Sucursal,,,,"Timestamp(seconds=1607468163, nanoseconds=210000000)",[object Object],,n8GjsfyVW5MPYQIQjx1h,"Timestamp(seconds=1607317200, nanoseconds=0)",,,Taxi,[object Object],150
De Hotel a Terminal,,,,"Timestamp(seconds=1607468084, nanoseconds=266000000)",[object Object],,cDSH6tJ6g6qTgbwGOI9V,"Timestamp(seconds=1607317200, nanoseconds=0)",,,Taxi,[object Object],120
,CAMPECHE,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FHXAekgHAKaeETj0HJw6X?alt=media&token=dcae8894-b68a-42e9-a20a-4202ef0524b7,"Timestamp(seconds=1607467376, nanoseconds=485000000)",[object Object],,HXAekgHAKaeETj0HJw6X,"Timestamp(seconds=1607317200, nanoseconds=0)",,MERIDA,Bus,[object Object],229
,,,,"Timestamp(seconds=1607467473, nanoseconds=657000000)",[object Object],,A0vYxFc9PX0pBhjYouLj,"Timestamp(seconds=1607317200, nanoseconds=0)",,,Alimentos,[object Object],300
De Sucursal a Hotel,,,,"Timestamp(seconds=1607468186, nanoseconds=489000000)",[object Object],,9ee8B2sof1AOkgOsariU,"Timestamp(seconds=1607317200, nanoseconds=0)",,,Taxi,[object Object],120
,,2,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F5pMGjWEv4ZB2hjux4oee?alt=media&token=b6b26690-734b-44bb-bae4-76331952b669,"Timestamp(seconds=1607471804, nanoseconds=297000000)",[object Object],,5pMGjWEv4ZB2hjux4oee,"Timestamp(seconds=1607317200, nanoseconds=0)",,,Hotel,[object Object],1500
,MERIDA,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FVadXLtMhafHeUvIYnziF?alt=media&token=7d5bf1f3-8359-4b1b-8214-91cbd857e837,"Timestamp(seconds=1607800834, nanoseconds=598000000)",[object Object],,VadXLtMhafHeUvIYnziF,"Timestamp(seconds=1607234400, nanoseconds=0)",,CANCUN,Bus,[object Object],461
,,1,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FbiCLnCKKoQMjgwgDekkp?alt=media&token=13ccc884-eea0-4e8d-b8ac-97e3bad49e6a,"Timestamp(seconds=1607465130, nanoseconds=304000000)",[object Object],,biCLnCKKoQMjgwgDekkp,"Timestamp(seconds=1607230800, nanoseconds=0)",,,Hotel,[object Object],600
De Terminal a Sucursal,,,,"Timestamp(seconds=1607468018, nanoseconds=919000000)",[object Object],,SijtgCxMCGzov9ntarHl,"Timestamp(seconds=1607230800, nanoseconds=0)",,,Taxi,[object Object],120
,,,,"Timestamp(seconds=1607465070, nanoseconds=897000000)",[object Object],,HSUstA4BINxPU3sWimQy,"Timestamp(seconds=1607230800, nanoseconds=0)",,,Alimentos,[object Object],300
De Sucursal a Hotel,,,,"Timestamp(seconds=1607468054, nanoseconds=315000000)",[object Object],,FWb8H0duvLDUuXParJD8,"Timestamp(seconds=1607230800, nanoseconds=0)",,,Taxi,[object Object],120
,VILLAHERMOSA,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FDD3K2P1IHPqvUfBsoVb7?alt=media&token=e6fbb630-5219-4622-bf36-593300ff6a2d,"Timestamp(seconds=1607466208, nanoseconds=684000000)",[object Object],,DD3K2P1IHPqvUfBsoVb7,"Timestamp(seconds=1607230800, nanoseconds=0)",,CAMPECHE,Bus,[object Object],634
,,,,"Timestamp(seconds=1607464877, nanoseconds=670000000)",[object Object],,lbhiyTQu2hRBOdLkIotr,"Timestamp(seconds=1607144400, nanoseconds=0)",,,Alimentos,[object Object],300
,,,,"Timestamp(seconds=1607465254, nanoseconds=282000000)",[object Object],,a3n5XnVrYrVggUdpLh2m,"Timestamp(seconds=1607144400, nanoseconds=0)",,,Alimentos,[object Object],300
De Sucursal a Hotel,,,,"Timestamp(seconds=1607467974, nanoseconds=550000000)",[object Object],,GQHrwn2KsjsykX5BQQHO,"Timestamp(seconds=1607144400, nanoseconds=0)",,,Taxi,[object Object],110
De Hotel a Sucursal,,,,"Timestamp(seconds=1607467951, nanoseconds=732000000)",[object Object],,DvGzz8htvENEy48my29v,"Timestamp(seconds=1607144400, nanoseconds=0)",,,Taxi,[object Object],100
,CDMX,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FXCnPTt2e5AVvnKbm8lPr?alt=media&token=55aaa9ed-c919-4f9c-8461-0e581bc0ab26,"Timestamp(seconds=1607354708, nanoseconds=999000000)",[object Object],,XCnPTt2e5AVvnKbm8lPr,"Timestamp(seconds=1607061600, nanoseconds=0)",,1 Adulto,Avion,[object Object],2343
,,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FET1jN5qX6QGyvAYyosaV?alt=media&token=4c87f122-a59a-4ba2-a501-48d1675ed5df,"Timestamp(seconds=1607143863, nanoseconds=524000000)",[object Object],,ET1jN5qX6QGyvAYyosaV,"Timestamp(seconds=1607061600, nanoseconds=0)",Plan de datos internet,,Otros,[object Object],635
De Terminal a Sucursal,,,,"Timestamp(seconds=1607467865, nanoseconds=140000000)",[object Object],,xZkWWaV8rMgOVFzHiAqL,"Timestamp(seconds=1607058000, nanoseconds=0)",,,Taxi,[object Object],120
De Sucursal a Hotel,,,,"Timestamp(seconds=1607467892, nanoseconds=614000000)",[object Object],,sbAUl66Sl1CZCMY7GYOD,"Timestamp(seconds=1607058000, nanoseconds=0)",,,Taxi,[object Object],110
,,2,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FVphTwUa8xACpNC81Ah6G?alt=media&token=ce747a0d-792c-4ef3-8d25-28b2b128d70e,"Timestamp(seconds=1607464827, nanoseconds=822000000)",[object Object],,VphTwUa8xACpNC81Ah6G,"Timestamp(seconds=1607058000, nanoseconds=0)",,,Hotel,[object Object],1300
,TUXTLA,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FT0MBAdF41fmEPZo0pzHD?alt=media&token=c60a57a9-5231-4a3e-8178-4785126b39e0,"Timestamp(seconds=1607464762, nanoseconds=289000000)",[object Object],,T0MBAdF41fmEPZo0pzHD,"Timestamp(seconds=1607058000, nanoseconds=0)",,VILLAHERMOSA,Bus,[object Object],490
,,1,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FPjt8jK3kvHcWo0lwYZVD?alt=media&token=95d08c74-e2e9-4364-baec-ff8643b01dbc,"Timestamp(seconds=1607464695, nanoseconds=287000000)",[object Object],,Pjt8jK3kvHcWo0lwYZVD,"Timestamp(seconds=1607058000, nanoseconds=0)",,,Hotel,[object Object],772
,,,,"Timestamp(seconds=1607464861, nanoseconds=791000000)",[object Object],,MhZzCuPD6vUEG67mc6C9,"Timestamp(seconds=1607058000, nanoseconds=0)",,,Alimentos,[object Object],300
De Hotel a Terminal,,,,"Timestamp(seconds=1607467784, nanoseconds=544000000)",[object Object],,E6EnNqPemJaF2VRimQad,"Timestamp(seconds=1607058000, nanoseconds=0)",,,Taxi,[object Object],130
,,,,"Timestamp(seconds=1607964229, nanoseconds=920000000)",[object Object],,z6RnxszQrMZCj14DW8JW,"Timestamp(seconds=1606975200, nanoseconds=0)",,,Alimentos,[object Object],300
De Sucursal a Hotel,,,,"Timestamp(seconds=1607467762, nanoseconds=775000000)",[object Object],,zKlaWHWCNo9A5D9Z03sg,"Timestamp(seconds=1606971600, nanoseconds=0)",,,Taxi,[object Object],100
,CDMX,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FiJ1oi9eOaCamwZhYrhvW?alt=media&token=58628870-04bf-4595-b15a-56b79dfeb97c,"Timestamp(seconds=1607425657, nanoseconds=229000000)",[object Object],,iJ1oi9eOaCamwZhYrhvW,"Timestamp(seconds=1606971600, nanoseconds=0)",,TUXTLA,Avion,[object Object],2532.49
De Terminal a Sucursal,,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2Fi94JF6Rr9UfGn2HLO0x0?alt=media&token=9057355e-a482-41fa-ac7a-2a23b1ee18d5,"Timestamp(seconds=1607464583, nanoseconds=212000000)",[object Object],,i94JF6Rr9UfGn2HLO0x0,"Timestamp(seconds=1606971600, nanoseconds=0)",,,Taxi,[object Object],315
,,,,"Timestamp(seconds=1607464846, nanoseconds=558000000)",[object Object],,DBUtzKtGr2MWdhppmCK1,"Timestamp(seconds=1606971600, nanoseconds=0)",,,Alimentos,[object Object],300
De Casa a Terminal,,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F2V0hC9Mj6SYKxUPTs9iO?alt=media&token=1bc9d7e3-b515-4054-83cc-439ba69e574e,"Timestamp(seconds=1607425061, nanoseconds=403000000)",[object Object],,2V0hC9Mj6SYKxUPTs9iO,"Timestamp(seconds=1606971600, nanoseconds=0)",,,Taxi,[object Object],336.23
,,,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FE00r90PKQaVlZnz0DTfK?alt=media&token=98278879-c0fa-46c9-b728-0bf089d23292,"Timestamp(seconds=1607968452, nanoseconds=799000000)",[object Object],,E00r90PKQaVlZnz0DTfK,"Timestamp(seconds=1606802400, nanoseconds=0)",Saldo pendiente del mes de Noviembre ,,Otros,[object Object],260.23
